T-MDA;netMaker_3o_10000n_1amin_10amax_50i_1s_scorr_442970.gr;500;9895;64087;64087;186;0.0566;2.69;2125
T-MDA;netMaker_3o_10000n_1amin_10amax_50i_1s_scorr_442970.gr;9240;4537;33692;33692;257;0.0253;1.90;1021
T-MDA;netMaker_3o_10000n_1amin_10amax_50i_1s_scorr_442970.gr;8369;578;49127;49127;227;0.0383;2.55;2063
T-MDA;netMaker_3o_10000n_1amin_10amax_50i_1s_scorr_442970.gr;4012;7290;17430;17430;177;0.0116;1.97;2009
T-MDA;netMaker_3o_10000n_1amin_10amax_50i_1s_scorr_442970.gr;6968;2128;25426;25426;120;0.0178;1.71;857
T-MDA;netMaker_3o_10000n_1amin_10amax_50i_1s_scorr_442970.gr;9326;3991;53005;53005;535;0.0469;2.30;1856
T-MDA;netMaker_3o_10000n_1amin_10amax_50i_1s_scorr_442970.gr;1466;9297;88442;88442;389;0.0710;2.67;2342
T-MDA;netMaker_3o_10000n_1amin_10amax_50i_1s_scorr_442970.gr;5218;4461;21015;21015;270;0.0152;2.07;1285
T-MDA;netMaker_3o_10000n_1amin_10amax_50i_1s_scorr_442970.gr;154;9315;93365;93365;356;0.1122;2.45;2926
T-MDA;netMaker_3o_10000n_1amin_20amax_20i_1s_scorr_86119.gr;3017;4667;560878;560878;1442;1.2562;14.60;3275
T-MDA;netMaker_3o_10000n_1amin_20amax_20i_1s_scorr_86119.gr;3264;5295;1389670;1389670;1929;3.2217;45.23;6727
T-MDA;netMaker_3o_10000n_1amin_20amax_20i_1s_scorr_86119.gr;3404;4191;862545;862545;2095;2.2881;15.19;3808
T-MDA;netMaker_3o_10000n_1amin_20amax_20i_1s_scorr_86119.gr;3689;7335;1967219;1967219;1756;5.9088;39.74;7260
T-MDA;netMaker_3o_10000n_1amin_20amax_20i_1s_scorr_86119.gr;856;2111;202903;202903;198;0.3498;25.12;5153
T-MDA;netMaker_3o_10000n_1amin_20amax_20i_1s_scorr_86119.gr;5676;239;1185602;1185602;2181;2.9503;40.36;6764
T-MDA;netMaker_3o_10000n_1amin_20amax_20i_1s_scorr_86119.gr;4696;9099;829619;829619;1724;2.2077;19.92;4400
T-MDA;netMaker_3o_10000n_1amin_20amax_20i_1s_scorr_86119.gr;7481;5382;795524;795524;2360;1.9021;20.72;4873
T-MDA;netMaker_3o_10000n_1amin_20amax_20i_1s_scorr_86119.gr;8513;6921;1872628;1872628;2036;6.4293;37.64;6315
T-MDA;netMaker_3o_10000n_1amin_20amax_20i_1s_scorr_86119.gr;7552;9628;1095076;1095076;3079;2.7159;25.55;5210
T-MDA;netMaker_3o_10000n_1amin_20amax_20i_1s_scorr_86119.gr;3875;6860;2086040;2086040;3391;5.9727;47.14;6379
T-MDA;netMaker_3o_10000n_1amin_20amax_20i_1s_scorr_86119.gr;6153;7532;1008910;1008910;1483;2.4699;37.65;6403
T-MDA;netMaker_3o_10000n_1amin_20amax_20i_1s_scorr_86119.gr;2064;571;699273;699273;2374;1.4943;18.75;3860
T-MDA;netMaker_3o_10000n_1amin_20amax_20i_1s_scorr_86119.gr;4437;3373;781162;781162;1469;1.4771;23.61;4825
T-MDA;netMaker_3o_10000n_1amin_20amax_20i_1s_scorr_86119.gr;8925;159;1246337;1246337;2034;2.9485;39.23;6936
T-MDA;netMaker_3o_10000n_1amin_20amax_20i_1s_scorr_86119.gr;2754;4676;235712;235712;710;0.3920;12.85;2982
T-MDA;netMaker_3o_10000n_1amin_20amax_20i_1s_scorr_86119.gr;818;6250;751611;751611;1988;1.5377;15.98;4009
T-MDA;netMaker_3o_10000n_1amin_20amax_20i_1s_scorr_86119.gr;9785;3218;325365;325365;476;0.5181;12.32;3064
T-MDA;netMaker_3o_10000n_1amin_20amax_20i_1s_scorr_86119.gr;6659;4610;364908;364908;1147;0.6194;10.31;3094
T-MDA;netMaker_3o_10000n_1amin_20amax_20i_1s_scorr_86119.gr;6145;9971;1595683;1595683;1401;4.8642;38.41;6375
T-MDA;netMaker_3o_10000n_1amin_20amax_50i_1s_scorr_945818.gr;9533;2149;537681;537681;1264;1.1283;14.81;4841
T-MDA;netMaker_3o_10000n_1amin_20amax_50i_1s_scorr_945818.gr;3334;6202;333134;333134;796;0.6336;12.58;4897
T-MDA;netMaker_3o_10000n_1amin_20amax_50i_1s_scorr_945818.gr;3987;9879;463950;463950;435;0.8552;17.28;5948
T-MDA;netMaker_3o_10000n_1amin_20amax_50i_1s_scorr_945818.gr;9510;8576;467111;467111;590;0.7755;15.14;6790
T-MDA;netMaker_3o_10000n_1amin_20amax_50i_1s_scorr_945818.gr;6055;3678;274542;274542;979;0.4902;7.53;3240
